post_id	persona	reply_num	vote	persona_influence	explanation
earthquake	Ava		1	8	As an AvaTech Entrepreneur, I am interested in staying informed about global events. Earthquakes are significant events that can have a major impact on communities. I would upvote this post because it provides valuable information about an earthquake in Mexico and includes a video for visual context.
earthquake	Ava	0	-1	8	I would downvote the post because it contains misleading information. The reply provides context that the video is not related to the recent earthquake in Mexico.
earthquake	Ava	1	1	8	I would upvote the post because it provides information about a recent event that is relevant and important. The reply also indicates concern for the well-being of people affected by the earthquake.
earthquake	Carlos		1	8	As a CarlosFarmer from Rural Brazil, I am not directly affected by the earthquake in Mexico. However, I understand the importance of supporting and showing solidarity with those affected by natural disasters. I will upvote the post to help raise awareness and encourage others to check out the video.
earthquake	Carlos	0	-1	8	I would downvote the post because it is misleading to use footage from a different earthquake to represent the recent earthquake in Mexico.
earthquake	Carlos	1	1	8	I would upvote the post because it is important to raise awareness about natural disasters and their impact on people's lives. The reply reinforces the sentiment of concern for the well-being of those affected.
earthquake	Hannah		1	8	I would upvote this post because it provides important information about a recent earthquake in Mexico. As a student activist, I am interested in staying informed about natural disasters and their impact on communities. The video could provide valuable insights into the situation.
earthquake	Hannah	0	-1	8	I would downvote the post because it contains misleading information. The reply provides context that the video is not related to the recent earthquake in Mexico.
earthquake	Hannah	1	1	8	I would upvote the post because it is important to raise awareness about natural disasters and their impact on people's lives. The reply also shows empathy towards the situation, which reinforces the importance of the post.
earthquake	Yuki		1	7	As a freelance artist, I don't have much expertise in earthquakes or disaster response. However, I believe it's important to show support and solidarity during times of crisis. I will upvote this post to help spread awareness and encourage others to check out the video.
earthquake	Yuki	0	-1	8	I would downvote the post because it contains misleading information. The reply provides context that the video is not related to the recent earthquake in Mexico.
earthquake	Yuki	1	1	8	I would upvote the post because it is important to raise awareness about natural disasters and share information. The reply also indicates that the person is concerned about the well-being of others, which further emphasizes the importance of the post.
earthquake	Fatima		1	8	As a healthcare worker, I don't have expertise in earthquakes or disaster response. However, I understand the importance of raising awareness about natural disasters and providing support to affected communities. I will upvote this post to help spread awareness and encourage others to learn more about the earthquake in Mexico.
earthquake	Fatima	0	-1	8	I would downvote the post because it contains misleading information. The reply provides context that the video is not related to the recent earthquake in Mexico.
earthquake	Fatima	1	1	8	As a healthcare worker, I understand the devastating impact of natural disasters like earthquakes. It is important to show empathy and support for those affected. The post provides valuable information about the earthquake, and the reply expresses concern for the lives lost. Therefore, I will upvote the post to help raise awareness and show solidarity.
earthquake	David		1	8	As a retired veteran, I am concerned about the well-being of people affected by natural disasters. I believe it is important to raise awareness and support for those affected. Therefore, I will upvote this post to help spread the word and encourage others to check out the video.
earthquake	David	0	-1	7	I would downvote the post because it contains misleading information. The reply provides context that the video is not related to the recent earthquake in Mexico.
earthquake	David	1	1	8	I will upvote the post because it provides information about an earthquake in Mexico, which is relevant and important to know. The reply also indicates concern for the lives lost, which further emphasizes the significance of the post.
earthquake	Sara		1	8	As a corporate lawyer, I don't have expertise in earthquakes or disaster management. However, I believe it is important to stay informed about current events and support those affected by natural disasters. I will upvote this post to show my support and encourage others to watch the video for more information.
earthquake	Sara	0	-1	8	I would downvote the post because it contains misleading information. The reply provides context that the video is not related to the recent earthquake in Mexico.
earthquake	Sara	1	1	8	I would upvote the post because it is important to raise awareness about natural disasters and their impact on people's lives. The reply also shows empathy towards the situation, which further supports the importance of sharing the video.
earthquake	Liam		1	8	As a high school teacher, I understand the importance of staying informed about current events. Earthquakes can have a significant impact on communities, so it's important to share information and raise awareness. I would upvote this post to show support for spreading awareness about the earthquake in Mexico.
earthquake	Liam	0	-1	8	I would downvote the post because it is misleading to use footage from a different earthquake to represent the recent earthquake in Mexico.
earthquake	Liam	1	1	8	I would upvote the post because it is important to raise awareness about natural disasters and share information. The reply confirms that the event was horrible and expresses concern for the lives lost.
earthquake	Nadia		1	8	As an environmental scientist, I understand the importance of sharing information about natural disasters like earthquakes. This post provides valuable information about an earthquake in Mexico and includes a video for further context. It is important to raise awareness about such events and their impact on communities.
earthquake	Nadia	0	-1	8	I would downvote the post because it contains misleading information. The reply provides context that the video is not related to the recent earthquake in Mexico.
earthquake	Nadia	1	1	8	I would upvote the post because it is important to raise awareness about natural disasters and their impact on people's lives. The reply reinforces the sentiment of concern for the well-being of those affected.
earthquake	Ibrahim		1	8	I will upvote the post because as a tech start-up founder, I am interested in staying updated with current events and natural disasters like earthquakes. The video can provide valuable information about the earthquake in Mexico.
earthquake	Ibrahim	0	-1	8	I will downvote the post because it contains misleading information. The reply provides context that the video is not related to the recent earthquake in Mexico.
earthquake	Ibrahim	1	1	8	I will upvote the post because it provides information about an earthquake in Mexico, which is important for people to be aware of. The reply also expresses concern for the lives lost, which shows empathy.
earthquake	Emily		1	8	As an elementary school teacher, I understand the importance of staying informed about current events. Earthquakes can be devastating and it's important to raise awareness and support for affected areas. I would upvote this post to help spread awareness and encourage others to watch the video.
earthquake	Emily	0	-1	8	I would downvote the post because it contains misleading information. The reply provides context that the video is not related to the recent earthquake in Mexico.
